最速下降法：
第1次迭代, f(x_1) = 0.7711096853451352, x1 = 0.1612617799292677, x2 = 0.0000000000000000
第5168次迭代, f(x_5168) = 0.0000002528032531, x1 = 0.9994972080409522, x2 = 0.9989944818250570
第5169次迭代, f(x_5169) = 0.0000002522383918, x1 = 0.9994984198061748, x2 = 0.9989945305291723
第5170次迭代, f(x_5170) = 0.0000002516748161, x1 = 0.9994983314574689, x2 = 0.9989967277827844
第5171次迭代, f(x_5171) = 0.0000002511125320, x1 = 0.9994995404292761, x2 = 0.9989967764209942
第5172次迭代, f(x_5172) = 0.0000002505514248, x1 = 0.9994994523410782, x2 = 0.9989989690604677
第5173次迭代, f(x_5173) = 0.0000002499915806, x1 = 0.9995006587242184, x2 = 0.9989990175336459
第5174次迭代, f(x_5174) = 0.0000002494330564, x1 = 0.9995005707280407, x2 = 0.9990012049088091
第5175次迭代, f(x_5175) = 0.0000002488757859, x1 = 0.9995017742994544, x2 = 0.9990012533317936
第5176次迭代, f(x_5176) = 0.0000002483196886, x1 = 0.9995016865899631, x2 = 0.9990034361864876
第5177次迭代, f(x_5177) = 0.0000002477648243, x1 = 0.9995028876031417, x2 = 0.9990034844357587
第5178次迭代, f(x_5178) = 0.0000002472112988, x1 = 0.9995027999738283, x2 = 0.9990056618771788
第5179次迭代, f(x_5179) = 0.0000002466590377, x1 = 0.9995039981894208, x2 = 0.9990057101217151
第5180次迭代, f(x_5180) = 0.0000002461080446, x1 = 0.9995039106692515, x2 = 0.9990078824972501
第5181次迭代, f(x_5181) = 0.0000002455582760, x1 = 0.9995051061656585, x2 = 0.9990079306552156
第5182次迭代, f(x_5182) = 0.0000002450097223, x1 = 0.9995050188708776, x2 = 0.9990100982463921
第5183次迭代, f(x_5183) = 0.0000002444623984, x1 = 0.9995062117127503, x2 = 0.9990101462886937
第5184次迭代, f(x_5184) = 0.0000002439163098, x1 = 0.9995061245913828, x2 = 0.9990123089605952
第5185次迭代, f(x_5185) = 0.0000002433714446, x1 = 0.9995073147447882, x2 = 0.9990123569074402
第5186次迭代, f(x_5186) = 0.0000002428277852, x1 = 0.9995072278293418, x2 = 0.9990145148255891
第5187次迭代, f(x_5187) = 0.0000002422853314, x1 = 0.9995084153585181, x2 = 0.9990145626480765
第5188次迭代, f(x_5188) = 0.0000002417441265, x1 = 0.9995083286039222, x2 = 0.9990167155155977
第5189次迭代, f(x_5189) = 0.0000002412041549, x1 = 0.9995095133835481, x2 = 0.9990167632796281
第5190次迭代, f(x_5190) = 0.0000002406653119, x1 = 0.9995094268942430, x2 = 0.9990189116986881
第5191次迭代, f(x_5191) = 0.0000002401276637, x1 = 0.9995106090845312, x2 = 0.9990189592819502
第5192次迭代, f(x_5192) = 0.0000002395911448, x1 = 0.9995105229035219, x2 = 0.9990211032733289
第5193次迭代, f(x_5193) = 0.0000002390558261, x1 = 0.9995117025680406, x2 = 0.9990211506924981
第5194次迭代, f(x_5194) = 0.0000002385217801, x1 = 0.9995116164729864, x2 = 0.9990232895137401
第5195次迭代, f(x_5195) = 0.0000002379889278, x1 = 0.9995127933789840, x2 = 0.9990233368884273
第5196次迭代, f(x_5196) = 0.0000002374571962, x1 = 0.9995127075727899, x2 = 0.9990254713108028
第5197次迭代, f(x_5197) = 0.0000002369266415, x1 = 0.9995138819823479, x2 = 0.9990255185131203
第5198次迭代, f(x_5198) = 0.0000002363973717, x1 = 0.9995137962470826, x2 = 0.9990276477156272
第5199次迭代, f(x_5199) = 0.0000002358692787, x1 = 0.9995149678823533, x2 = 0.9990276948877262
第5200次迭代, f(x_5200) = 0.0000002353422853, x1 = 0.9995148824595534, x2 = 0.9990298197789009
第5201次迭代, f(x_5201) = 0.0000002348164584, x1 = 0.9995160516274431, x2 = 0.9990298667704605
第5202次迭代, f(x_5202) = 0.0000002342919158, x1 = 0.9995159662604477, x2 = 0.9990319863997196
第5203次迭代, f(x_5203) = 0.0000002337685433, x1 = 0.9995171327253303, x2 = 0.9990320333765478
第5204次迭代, f(x_5204) = 0.0000002332464123, x1 = 0.9995170474514080, x2 = 0.9990341479210944
第5205次迭代, f(x_5205) = 0.0000002327254457, x1 = 0.9995182111971532, x2 = 0.9990341948497633
第5206次迭代, f(x_5206) = 0.0000002322055819, x1 = 0.9995181262024275, x2 = 0.9990363050201740
第5207次迭代, f(x_5207) = 0.0000002316868668, x1 = 0.9995192873886266, x2 = 0.9990363517794316
第5208次迭代, f(x_5208) = 0.0000002311692350, x1 = 0.9995192027139551, x2 = 0.9990384575760389
第5209次迭代, f(x_5209) = 0.0000002306527830, x1 = 0.9995203613933602, x2 = 0.9990385041871099
第5210次迭代, f(x_5210) = 0.0000002301375210, x1 = 0.9995202768224731, x2 = 0.9990406050643705
第5211次迭代, f(x_5211) = 0.0000002296234057, x1 = 0.9995214328628195, x2 = 0.9990406515965494
第5212次迭代, f(x_5212) = 0.0000002291104190, x1 = 0.9995213485158673, x2 = 0.9990427479324282
第5213次迭代, f(x_5213) = 0.0000002285985651, x1 = 0.9995225020303292, x2 = 0.9990427943322466
第5214次迭代, f(x_5214) = 0.0000002280879085, x1 = 0.9995224178169169, x2 = 0.9990448857600273
第5215次迭代, f(x_5215) = 0.0000002275783874, x1 = 0.9995235686762127, x2 = 0.9990449320952733
第5216次迭代, f(x_5216) = 0.0000002270699689, x1 = 0.9995234847104933, x2 = 0.9990470190684844
第5217次迭代, f(x_5217) = 0.0000002265626785, x1 = 0.9995246330724720, x2 = 0.9990470652633320
第5218次迭代, f(x_5218) = 0.0000002260565797, x1 = 0.9995245492254529, x2 = 0.9990491472860127
第5219次迭代, f(x_5219) = 0.0000002255516155, x1 = 0.9995256949202598, x2 = 0.9990491934285279
第5220次迭代, f(x_5220) = 0.0000002250477204, x1 = 0.9995256113408528, x2 = 0.9990512710776643
第5221次迭代, f(x_5221) = 0.0000002245449568, x1 = 0.9995267545666423, x2 = 0.9990513170718486
第5222次迭代, f(x_5222) = 0.0000002240433708, x1 = 0.9995266710883622, x2 = 0.9990533898010927
第5223次迭代, f(x_5223) = 0.0000002235429025, x1 = 0.9995278116759249, x2 = 0.9990534357346754
第5224次迭代, f(x_5224) = 0.0000002230435108, x1 = 0.9995277284471320, x2 = 0.9990555041183805
第5225次迭代, f(x_5225) = 0.0000002225452132, x1 = 0.9995288665936246, x2 = 0.9990555498958481
第5226次迭代, f(x_5226) = 0.0000002220481201, x1 = 0.9995287834520470, x2 = 0.9990576133068065
第5227次迭代, f(x_5227) = 0.0000002215521153, x1 = 0.9995299189420724, x2 = 0.9990576590389746
第5228次迭代, f(x_5228) = 0.0000002210571787, x1 = 0.9995298360825504, x2 = 0.9990597180201994
第5229次迭代, f(x_5229) = 0.0000002205633729, x1 = 0.9995309690624775, x2 = 0.9990597636369419
第5230次迭代, f(x_5230) = 0.0000002200706668, x1 = 0.9995308863566378, x2 = 0.9990618179548055
第5231次迭代, f(x_5231) = 0.0000002195790714, x1 = 0.9995320167959693, x2 = 0.9990618634744478
第5232次迭代, f(x_5232) = 0.0000002190885644, x1 = 0.9995319342764438, x2 = 0.9990639132003919
第5233次迭代, f(x_5233) = 0.0000002185991648, x1 = 0.9995330621891867, x2 = 0.9990639586189938
第5234次迭代, f(x_5234) = 0.0000002181108519, x1 = 0.9995329798472825, x2 = 0.9990660037674252
第5235次迭代, f(x_5235) = 0.0000002176236332, x1 = 0.9995341052473564, x2 = 0.9990660490810833
第5236次迭代, f(x_5236) = 0.0000002171375094, x1 = 0.9995340230773344, x2 = 0.9990680895948527
第5237次迭代, f(x_5237) = 0.0000002166524809, x1 = 0.9995351459383556, x2 = 0.9990681348198144
第5238次迭代, f(x_5238) = 0.0000002161685176, x1 = 0.9995350639661246, x2 = 0.9990701708362465
第5239次迭代, f(x_5239) = 0.0000002156856409, x1 = 0.9995361843421463, x2 = 0.9990702159485222
第5240次迭代, f(x_5240) = 0.0000002152038567, x1 = 0.9995361025246816, x2 = 0.9990722473591706
第5241次迭代, f(x_5241) = 0.0000002147231411, x1 = 0.9995372203893279, x2 = 0.9990722923749896
第5242次迭代, f(x_5242) = 0.0000002142435076, x1 = 0.9995371387553914, x2 = 0.9990743192454936
第5243次迭代, f(x_5243) = 0.0000002137649385, x1 = 0.9995382541224175, x2 = 0.9990743641610076
第5244次迭代, f(x_5244) = 0.0000002132874508, x1 = 0.9995381726667940, x2 = 0.9990763864239839
第5245次迭代, f(x_5245) = 0.0000002128110408, x1 = 0.9995392855039782, x2 = 0.9990764312583321
第5246次迭代, f(x_5246) = 0.0000002123356671, x1 = 0.9995392042547047, x2 = 0.9990784491390126
第5247次迭代, f(x_5247) = 0.0000002118613519, x1 = 0.9995403146613936, x2 = 0.9990784938455254
第5248次迭代, f(x_5248) = 0.0000002113881373, x1 = 0.9995402335427397, x2 = 0.9990805069443941
第5249次迭代, f(x_5249) = 0.0000002109160023, x1 = 0.9995413414401284, x2 = 0.9990805516080375
第5250次迭代, f(x_5250) = 0.0000002104449961, x1 = 0.9995412603564144, x2 = 0.9990825598213201
第5251次迭代, f(x_5251) = 0.0000002099750260, x1 = 0.9995423656803103, x2 = 0.9990826044347836
第5252次迭代, f(x_5252) = 0.0000002095060695, x1 = 0.9995422848589753, x2 = 0.9990846083664965
第5253次迭代, f(x_5253) = 0.0000002090381683, x1 = 0.9995433877644033, x2 = 0.9990846528552425
第5254次迭代, f(x_5254) = 0.0000002085713385, x1 = 0.9995433070729376, x2 = 0.9990866521608428
第5255次迭代, f(x_5255) = 0.0000002081055501, x1 = 0.9995444074732938, x2 = 0.9990866965711744
第5256次迭代, f(x_5256) = 0.0000002076407844, x1 = 0.9995443269891510, x2 = 0.9990886915697257
第5257次迭代, f(x_5257) = 0.0000002071770374, x1 = 0.9995454249975727, x2 = 0.9990887358480417
第5258次迭代, f(x_5258) = 0.0000002067143885, x1 = 0.9995453446300109, x2 = 0.9990907261764235
第5259次迭代, f(x_5259) = 0.0000002062527499, x1 = 0.9995464401193588, x2 = 0.9990907703892866
第5260次迭代, f(x_5260) = 0.0000002057921322, x1 = 0.9995463599876491, x2 = 0.9990927563137127
第5261次迭代, f(x_5261) = 0.0000002053325646, x1 = 0.9995474530122233, x2 = 0.9990928004369348
第5262次迭代, f(x_5262) = 0.0000002048739969, x1 = 0.9995473730630533, x2 = 0.9990947820948320
第5263次迭代, f(x_5263) = 0.0000002044164301, x1 = 0.9995484636575840, x2 = 0.9990948260721245
第5264次迭代, f(x_5264) = 0.0000002039598153, x1 = 0.9995483840312516, x2 = 0.9990968037331397
第5265次迭代, f(x_5265) = 0.0000002035042203, x1 = 0.9995494723140949, x2 = 0.9990968475500249
第5266次迭代, f(x_5266) = 0.0000002030497192, x1 = 0.9995493927518493, x2 = 0.9990988204108080
第5267次迭代, f(x_5267) = 0.0000002025962261, x1 = 0.9995504784844759, x2 = 0.9990988641895322
第5268次迭代, f(x_5268) = 0.0000002021436903, x1 = 0.9995503991967191, x2 = 0.9991008329627171
第5269次迭代, f(x_5269) = 0.0000002016921648, x1 = 0.9995514826045088, x2 = 0.9991008765935039
第5270次迭代, f(x_5270) = 0.0000002012417105, x1 = 0.9995514034013340, x2 = 0.9991028406452451
第5271次迭代, f(x_5271) = 0.0000002007922594, x1 = 0.9995524842856091, x2 = 0.9991028842303961
第5272次迭代, f(x_5272) = 0.0000002003437615, x1 = 0.9995524053436611, x2 = 0.9991048441413425
第5273次迭代, f(x_5273) = 0.0000001998962770, x1 = 0.9995534838842157, x2 = 0.9991048875938670
第5274次迭代, f(x_5274) = 0.0000001994498253, x1 = 0.9995534050495625, x2 = 0.9991068429452583
第5275次迭代, f(x_5275) = 0.0000001990043640, x1 = 0.9995544811359723, x2 = 0.9991068863233064
第5276次迭代, f(x_5276) = 0.0000001985598840, x1 = 0.9995544025123849, x2 = 0.9991088373577316
第5277次迭代, f(x_5277) = 0.0000001981164099, x1 = 0.9995554761977101, x2 = 0.9991088806376830
第5278次迭代, f(x_5278) = 0.0000001976739196, x1 = 0.9995553977400575, x2 = 0.9991108273173925
第5279次迭代, f(x_5279) = 0.0000001972324197, x1 = 0.9995564690371505, x2 = 0.9991108704957297
第5280次迭代, f(x_5280) = 0.0000001967919144, x1 = 0.9995563907404711, x2 = 0.9991128127634851
第5281次迭代, f(x_5281) = 0.0000001963523979, x1 = 0.9995574596223354, x2 = 0.9991128558566132
第5282次迭代, f(x_5282) = 0.0000001959138505, x1 = 0.9995573815129500, x2 = 0.9991147938474723
第5283次迭代, f(x_5283) = 0.0000001954762823, x1 = 0.9995584480321393, x2 = 0.9991148368320051
第5284次迭代, f(x_5284) = 0.0000001950397104, x1 = 0.9995583700712455, x2 = 0.9991167703626223
第5285次迭代, f(x_5285) = 0.0000001946041234, x1 = 0.9995594341583691, x2 = 0.9991168132761544
第5286次迭代, f(x_5286) = 0.0000001941694765, x1 = 0.9995593564085983, x2 = 0.9991187426106789
第5287次迭代, f(x_5287) = 0.0000001937358120, x1 = 0.9995604181583848, x2 = 0.9991187854087182
第5288次迭代, f(x_5288) = 0.0000001933031313, x1 = 0.9995603405417428, x2 = 0.9991207103102708
第5289次迭代, f(x_5289) = 0.0000001928714221, x1 = 0.9995613998850134, x2 = 0.9991207530302930
第5290次迭代, f(x_5290) = 0.0000001924406573, x1 = 0.9995613224639500, x2 = 0.9991226737617948
第5291次迭代, f(x_5291) = 0.0000001920108455, x1 = 0.9995623794949124, x2 = 0.9991227163595551
第5292次迭代, f(x_5292) = 0.0000001915820372, x1 = 0.9995623021944520, x2 = 0.9991246326214002
第5293次迭代, f(x_5293) = 0.0000001911541752, x1 = 0.9995633568082799, x2 = 0.9991246751521896
第5294次迭代, f(x_5294) = 0.0000001907272538, x1 = 0.9995632797242049, x2 = 0.9991265872461590
第5295次迭代, f(x_5295) = 0.0000001903012859, x1 = 0.9995643320113735, x2 = 0.9991266296675867
第5296次迭代, f(x_5296) = 0.0000001898762899, x1 = 0.9995642550693138, x2 = 0.9991285373692264
第5297次迭代, f(x_5297) = 0.0000001894522463, x1 = 0.9995653049646083, x2 = 0.9991285797167596
第5298次迭代, f(x_5298) = 0.0000001890291284, x1 = 0.9995652282235883, x2 = 0.9991304832763276
第5299次迭代, f(x_5299) = 0.0000001886069541, x1 = 0.9995662758169822, x2 = 0.9991305255078138
第5300次迭代, f(x_5300) = 0.0000001881857522, x1 = 0.9995661992030604, x2 = 0.9991324247018095
第5301次迭代, f(x_5301) = 0.0000001877654773, x1 = 0.9995672444295333, x2 = 0.9991324668526057
第5302次迭代, f(x_5302) = 0.0000001873461444, x1 = 0.9995671680070872, x2 = 0.9991343617932054
第5303次迭代, f(x_5303) = 0.0000001869277565, x1 = 0.9995682108790890, x2 = 0.9991344038599175
第5304次迭代, f(x_5304) = 0.0000001865102881, x1 = 0.9995681346380388, x2 = 0.9991362946230715
第5305次迭代, f(x_5305) = 0.0000001860937555, x1 = 0.9995691752033206, x2 = 0.9991363365846442
第5306次迭代, f(x_5306) = 0.0000001856781666, x1 = 0.9995690991058862, x2 = 0.9991382230751500
第5307次迭代, f(x_5307) = 0.0000001852634965, x1 = 0.9995701373412896, x2 = 0.9991382649459849
第5308次迭代, f(x_5308) = 0.0000001848497631, x1 = 0.9995700614129707, x2 = 0.9991401472220953
第5309次迭代, f(x_5309) = 0.0000001844369433, x1 = 0.9995710973307196, x2 = 0.9991401889988925
第5310次迭代, f(x_5310) = 0.0000001840250609, x1 = 0.9995710215641634, x2 = 0.9991420670735155
第5311次迭代, f(x_5311) = 0.0000001836140794, x1 = 0.9995720551764076, x2 = 0.9991421087530056
第5312次迭代, f(x_5312) = 0.0000001832040435, x1 = 0.9995719795710327, x2 = 0.9991439824727567
第5313次迭代, f(x_5313) = 0.0000001827949389, x1 = 0.9995730107963190, x2 = 0.9991440240984767
第5314次迭代, f(x_5314) = 0.0000001823866943, x1 = 0.9995729354195534, x2 = 0.9991458938973264
第5315次迭代, f(x_5315) = 0.0000001819793631, x1 = 0.9995739644396181, x2 = 0.9991459353811806
第5316次迭代, f(x_5316) = 0.0000001815729971, x1 = 0.9995738891416108, x2 = 0.9991478006861941
第5317次迭代, f(x_5317) = 0.0000001811675392, x1 = 0.9995749157608546, x2 = 0.9991478421287938
第5318次迭代, f(x_5318) = 0.0000001807629353, x1 = 0.9995748407122870, x2 = 0.9991497035862430
第5319次迭代, f(x_5319) = 0.0000001803592276, x1 = 0.9995758651498787, x2 = 0.9991497448807591
第5320次迭代, f(x_5320) = 0.0000001799564927, x1 = 0.9995757901660784, x2 = 0.9991516018712588
第5321次迭代, f(x_5321) = 0.0000001795546344, x1 = 0.9995768122271975, x2 = 0.9991516431179007
第5322次迭代, f(x_5322) = 0.0000001791536532, x1 = 0.9995767374835719, x2 = 0.9991534961509052
第5323次迭代, f(x_5323) = 0.0000001787535624, x1 = 0.9995777573109982, x2 = 0.9991535372810350
第5324次迭代, f(x_5324) = 0.0000001783544005, x1 = 0.9995776826883025, x2 = 0.9991553859702840
第5325次迭代, f(x_5325) = 0.0000001779561354, x1 = 0.9995787001634863, x2 = 0.9991554270459536
第5326次迭代, f(x_5326) = 0.0000001775587187, x1 = 0.9995786257638842, x2 = 0.9991572718635033
第5327次迭代, f(x_5327) = 0.0000001771621797, x1 = 0.9995796410633910, x2 = 0.9991573127991661
第5328次迭代, f(x_5328) = 0.0000001767665917, x1 = 0.9995795667450575, x2 = 0.9991591530973617
第5329次迭代, f(x_5329) = 0.0000001763719021, x1 = 0.9995805796995401, x2 = 0.9991591940193628
第5330次迭代, f(x_5330) = 0.0000001759781320, x1 = 0.9995805054624616, x2 = 0.9991610298993276
第5331次迭代, f(x_5331) = 0.0000001755852575, x1 = 0.9995815160535515, x2 = 0.9991610707808088
第5332次迭代, f(x_5332) = 0.0000001751931942, x1 = 0.9995814420630760, x2 = 0.9991629028688276
第5333次迭代, f(x_5333) = 0.0000001748020171, x1 = 0.9995824505032496, x2 = 0.9991629436062635
第5334次迭代, f(x_5334) = 0.0000001744117625, x1 = 0.9995823765804445, x2 = 0.9991647713023871
第5335次迭代, f(x_5335) = 0.0000001740223775, x1 = 0.9995833826809872, x2 = 0.9991648119928882
第5336次迭代, f(x_5336) = 0.0000001736338214, x1 = 0.9995833089934651, x2 = 0.9991666358483746
第5337次迭代, f(x_5337) = 0.0000001732461331, x1 = 0.9995843129251996, x2 = 0.9991666764092351
第5338次迭代, f(x_5338) = 0.0000001728593550, x1 = 0.9995842393296974, x2 = 0.9991684959509923
第5339次迭代, f(x_5339) = 0.0000001724734359, x1 = 0.9995852409453724, x2 = 0.9991685364585737
第5340次迭代, f(x_5340) = 0.0000001720883480, x1 = 0.9995851675732242, x2 = 0.9991703521296491
第5341次迭代, f(x_5341) = 0.0000001717041195, x1 = 0.9995861670125855, x2 = 0.9991703925167753
第5342次迭代, f(x_5342) = 0.0000001713207848, x1 = 0.9995860937471365, x2 = 0.9991722039385799
第5343次迭代, f(x_5343) = 0.0000001709383029, x1 = 0.9995870908937965, x2 = 0.9991722442661648
第5344次迭代, f(x_5344) = 0.0000001705566499, x1 = 0.9995870178402798, x2 = 0.9991740517787668
第5345次迭代, f(x_5345) = 0.0000001701758551, x1 = 0.9995880127982311, x2 = 0.9991740919975032
第5346次迭代, f(x_5346) = 0.0000001697959281, x1 = 0.9995879398706016, x2 = 0.9991758953311182
第5347次迭代, f(x_5347) = 0.0000001694168576, x1 = 0.9995889325590103, x2 = 0.9991759354841265
第5348次迭代, f(x_5348) = 0.0000001690386041, x1 = 0.9995888598295207, x2 = 0.9991777349324146
第5349次迭代, f(x_5349) = 0.0000001686611990, x1 = 0.9995898503518277, x2 = 0.9991777749706514
第5350次迭代, f(x_5350) = 0.0000001682846626, x1 = 0.9995897777349034, x2 = 0.9991795702649883
第5351次迭代, f(x_5351) = 0.0000001679089597, x1 = 0.9995907660105490, x2 = 0.9991796102314250
第5352次迭代, f(x_5352) = 0.0000001675340886, x1 = 0.9995906935847753, x2 = 0.9991814015016054
第5353次迭代, f(x_5353) = 0.0000001671600770, x1 = 0.9995916796252013, x2 = 0.9991814413931961
第5354次迭代, f(x_5354) = 0.0000001667868669, x1 = 0.9995916073772136, x2 = 0.9991832288135529
第5355次迭代, f(x_5355) = 0.0000001664144887, x1 = 0.9995925912850404, x2 = 0.9991832685816466
第5356次迭代, f(x_5356) = 0.0000001660429825, x1 = 0.9995925191320817, x2 = 0.9991850518329253
第5357次迭代, f(x_5357) = 0.0000001656722893, x1 = 0.9995935007976924, x2 = 0.9991850915350069
第5358次迭代, f(x_5358) = 0.0000001653024205, x1 = 0.9995934288431763, x2 = 0.9991868708361753
第5359次迭代, f(x_5359) = 0.0000001649333864, x1 = 0.9995944083073437, x2 = 0.9991869104545122
第5360次迭代, f(x_5360) = 0.0000001645651661, x1 = 0.9995943365172208, x2 = 0.9991886857799001
第5361次迭代, f(x_5361) = 0.0000001641977805, x1 = 0.9995953137911149, x2 = 0.9991887253115586
第5362次迭代, f(x_5362) = 0.0000001638312044, x1 = 0.9995952421588040, x2 = 0.9991904966731567
第5363次迭代, f(x_5363) = 0.0000001634654567, x1 = 0.9995962172535280, x2 = 0.9991905361152305
第5364次迭代, f(x_5364) = 0.0000001631005207, x1 = 0.9995961457725039, x2 = 0.9991923035249825
第5365次迭代, f(x_5365) = 0.0000001627364004, x1 = 0.9995971186990947, x2 = 0.9991923428745921
第5366次迭代, f(x_5366) = 0.0000001623731004, x1 = 0.9995970473649824, x2 = 0.9991941062926137
第5367次迭代, f(x_5367) = 0.0000001620106120, x1 = 0.9995980181052708, x2 = 0.9991941455614805
第5368次迭代, f(x_5368) = 0.0000001616489287, x1 = 0.9995979469366039, x2 = 0.9991959050887232
第5369次迭代, f(x_5369) = 0.0000001612880471, x1 = 0.9995989155307002, x2 = 0.9991959442594162
第5370次迭代, f(x_5370) = 0.0000001609279913, x1 = 0.9995988444960994, x2 = 0.9991976998188423
第5371次迭代, f(x_5371) = 0.0000001605687208, x1 = 0.9995998109258329, x2 = 0.9991977389030714
第5372次迭代, f(x_5372) = 0.0000001602102735, x1 = 0.9995997400459107, x2 = 0.9991994905437073
第5373次迭代, f(x_5373) = 0.0000001598526040, x1 = 0.9996007043221861, x2 = 0.9991995295386359
第5374次迭代, f(x_5374) = 0.0000001594957611, x1 = 0.9996006335973436, x2 = 0.9992012771047423
第5375次迭代, f(x_5375) = 0.0000001591397298, x1 = 0.9996015956367255, x2 = 0.9992013160547077
第5376次迭代, f(x_5376) = 0.0000001587844396, x1 = 0.9996015251328761, x2 = 0.9992030600556739
第5377次迭代, f(x_5377) = 0.0000001584299295, x1 = 0.9996024850902602, x2 = 0.9992030988489483
第5378次迭代, f(x_5378) = 0.0000001580761795, x1 = 0.9996024148204072, x2 = 0.9992048392390844
第5379次迭代, f(x_5379) = 0.0000001577232033, x1 = 0.9996033727301386, x2 = 0.9992048778978529
第5380次迭代, f(x_5380) = 0.0000001573710830, x1 = 0.9996033025353123, x2 = 0.9992066139649816
第5381次迭代, f(x_5381) = 0.0000001570197680, x1 = 0.9996042582021392, x2 = 0.9992066526261888
第5382次迭代, f(x_5382) = 0.0000001566692499, x1 = 0.9996041881104468, x2 = 0.9992083846303124
第5383次迭代, f(x_5383) = 0.0000001563195322, x1 = 0.9996051415841667, x2 = 0.9992084232350442
第5384次迭代, f(x_5384) = 0.0000001559705511, x1 = 0.9996050716941192, x2 = 0.9992101515608461
第5385次迭代, f(x_5385) = 0.0000001556223598, x1 = 0.9996060231074511, x2 = 0.9992101900453108
第5386次迭代, f(x_5386) = 0.0000001552749725, x1 = 0.9996059533083216, x2 = 0.9992119143321208
第5387次迭代, f(x_5387) = 0.0000001549283584, x1 = 0.9996069025500811, x2 = 0.9992119527544978
第5388次迭代, f(x_5388) = 0.0000001545825002, x1 = 0.9996068329420614, x2 = 0.9992136733347222
第5389次迭代, f(x_5389) = 0.0000001542374071, x1 = 0.9996077801158673, x2 = 0.9992137116457614
第5390次迭代, f(x_5390) = 0.0000001538931201, x1 = 0.9996077106148290, x2 = 0.9992154282056530
第5391次迭代, f(x_5391) = 0.0000001535495960, x1 = 0.9996086556150033, x2 = 0.9992154664607686
第5392次迭代, f(x_5392) = 0.0000001532068186, x1 = 0.9996085863143551, x2 = 0.9992171793663840
第5393次迭代, f(x_5393) = 0.0000001528647962, x1 = 0.9996095292674334, x2 = 0.9992172175048536
第5394次迭代, f(x_5394) = 0.0000001525235817, x1 = 0.9996094600648374, x2 = 0.9992189263371350
第5395次迭代, f(x_5395) = 0.0000001521831299, x1 = 0.9996104008223523, x2 = 0.9992189644357602
第5396次迭代, f(x_5396) = 0.0000001518433959, x1 = 0.9996103318458162, x2 = 0.9992206697411889
第5397次迭代, f(x_5397) = 0.0000001515044129, x1 = 0.9996112705384192, x2 = 0.9992207077011240
第5398次迭代, f(x_5398) = 0.0000001511661372, x1 = 0.9996112018196156, x2 = 0.9992224094703662
第5399次迭代, f(x_5399) = 0.0000001508286327, x1 = 0.9996121384858290, x2 = 0.9992224473108369
第5400次迭代, f(x_5400) = 0.0000001504919033, x1 = 0.9996120698526388, x2 = 0.9992241451404781
第5401次迭代, f(x_5401) = 0.0000001501559166, x1 = 0.9996130044035419, x2 = 0.9992241829084898
第5402次迭代, f(x_5402) = 0.0000001498206806, x1 = 0.9996129359421341, x2 = 0.9992258769369036
第5403次迭代, f(x_5403) = 0.0000001494862020, x1 = 0.9996138683881794, x2 = 0.9992259146297593
第5404次迭代, f(x_5404) = 0.0000001491524556, x1 = 0.9996138000901250, x2 = 0.9992276049265171
第5405次迭代, f(x_5405) = 0.0000001488194597, x1 = 0.9996147304744701, x2 = 0.9992276425251586
第5406次迭代, f(x_5406) = 0.0000001484872150, x1 = 0.9996146623056896, x2 = 0.9992293290013485
第5407次迭代, f(x_5407) = 0.0000001481557083, x1 = 0.9996155906058235, x2 = 0.9992293665195526
第5408次迭代, f(x_5408) = 0.0000001478249453, x1 = 0.9996155225908259, x2 = 0.9992310492283647
第5409次迭代, f(x_5409) = 0.0000001474949185, x1 = 0.9996164488170172, x2 = 0.9992310866635093
第5410次迭代, f(x_5410) = 0.0000001471656333, x1 = 0.9996163809498801, x2 = 0.9992327656161509
第5411次迭代, f(x_5411) = 0.0000001468370770, x1 = 0.9996173051123372, x2 = 0.9992328029656387
第5412次迭代, f(x_5412) = 0.0000001465092658, x1 = 0.9996172373871891, x2 = 0.9992344781732733
第5413次迭代, f(x_5413) = 0.0000001461821708, x1 = 0.9996181594960599, x2 = 0.9992345154345311
第5414次迭代, f(x_5414) = 0.0000001458558295, x1 = 0.9996180919132110, x2 = 0.9992361867566479
第5415次迭代, f(x_5415) = 0.0000001455302278, x1 = 0.9996190118932567, x2 = 0.9992362239697992
第5416次迭代, f(x_5416) = 0.0000001452053113, x1 = 0.9996189445156731, x2 = 0.9992378917851990
第5417次迭代, f(x_5417) = 0.0000001448811236, x1 = 0.9996198625225318, x2 = 0.9992379288749000
第5418次迭代, f(x_5418) = 0.0000001445576983, x1 = 0.9996197952217449, x2 = 0.9992395927018241
第5419次迭代, f(x_5419) = 0.0000001442349985, x1 = 0.9996207110927182, x2 = 0.9992396297519253
第5420次迭代, f(x_5420) = 0.0000001439129773, x1 = 0.9996206440109264, x2 = 0.9992412901284351
第5421次迭代, f(x_5421) = 0.0000001435916736, x1 = 0.9996215579284409, x2 = 0.9992413270501852
第5422次迭代, f(x_5422) = 0.0000001432711355, x1 = 0.9996214909122481, x2 = 0.9992429834614495
第5423次迭代, f(x_5423) = 0.0000001429513013, x1 = 0.9996224027142565, x2 = 0.9992430203383615
第5424次迭代, f(x_5424) = 0.0000001426321599, x1 = 0.9996223359095747, x2 = 0.9992446732141597
第5425次迭代, f(x_5425) = 0.0000001423137327, x1 = 0.9996232457180604, x2 = 0.9992447099876989
